Shipment ID,Shipment Date,Shipment Month,Shipment Year
1001,7/1/2023,July,2023
1002,7/2/2023,July,2023
1003,7/3/2023,July,2023
1004,7/4/2023,July,2023
1005,7/5/2023,July,2023
1006,7/6/2023,July,2023
1007,7/7/2023,July,2023
1008,7/8/2023,July,2023
1009,7/9/2023,July,2023
1010,7/10/2023,July,2023
1011,7/11/2023,July,2023
1012,7/12/2023,July,2023
1013,7/13/2023,July,2023
1014,7/14/2023,July,2023
1015,7/15/2023,July,2023
1016,7/16/2023,July,2023
1017,7/17/2023,July,2023
1018,7/18/2023,July,2023
1019,7/19/2023,July,2023
1020,7/20/2023,July,2023
1021,7/21/2023,July,2023
1022,7/22/2023,July,2023
1023,7/23/2023,July,2023
1024,7/24/2023,July,2023
1025,7/25/2023,July,2023
1026,7/26/2023,July,2023
1027,7/27/2023,July,2023
1028,7/28/2023,July,2023
1029,7/29/2023,July,2023
1030,7/30/2023,July,2023
1031,7/31/2023,July,2023
1032,8/1/2023,August,2023
1033,8/2/2023,August,2023
1034,8/3/2023,August,2023
1035,8/4/2023,August,2023
1036,8/5/2023,August,2023
1037,8/6/2023,August,2023
1038,8/7/2023,August,2023
1039,8/8/2023,August,2023
1040,8/9/2023,August,2023
1041,8/10/2023,August,2023
1042,8/11/2023,August,2023
1043,8/12/2023,August,2023
1044,8/13/2023,August,2023
1045,8/14/2023,August,2023
1046,8/15/2023,August,2023
1047,8/16/2023,August,2023
1048,8/17/2023,August,2023
1049,8/18/2023,August,2023
1050,8/19/2023,August,2023
1051,8/20/2023,August,2023
1052,8/21/2023,August,2023
1053,8/22/2023,August,2023
1054,8/23/2023,August,2023
1055,8/24/2023,August,2023
1056,8/25/2023,August,2023
1057,8/26/2023,August,2023
1058,8/27/2023,August,2023
1059,8/28/2023,August,2023
1060,8/29/2023,August,2023
1061,8/30/2023,August,2023
1062,8/31/2023,August,2023
1063,9/1/2023,September,2023
1064,9/2/2023,September,2023
1065,9/3/2023,September,2023
1066,9/4/2023,September,2023
1067,9/5/2023,September,2023
1068,9/6/2023,September,2023
1069,9/7/2023,September,2023
1070,9/8/2023,September,2023
1071,9/9/2023,September,2023
1072,9/10/2023,September,2023
1073,9/11/2023,September,2023
1074,9/12/2023,September,2023
1075,9/13/2023,September,2023
1076,9/14/2023,September,2023
1077,9/15/2023,September,2023
1078,9/16/2023,September,2023
1079,9/17/2023,September,2023
1080,9/18/2023,September,2023
1081,9/19/2023,September,2023
1082,9/20/2023,September,2023
1083,9/21/2023,September,2023
1084,9/22/2023,September,2023
1085,9/23/2023,September,2023
1086,9/24/2023,September,2023
1087,9/25/2023,September,2023
1088,9/26/2023,September,2023
1089,9/27/2023,September,2023
1090,9/28/2023,September,2023
1091,9/29/2023,September,2023
1092,9/30/2023,September,2023
1093,10/1/2023,October,2023
1094,10/2/2023,October,2023
1095,10/3/2023,October,2023
1096,10/4/2023,October,2023
1097,10/5/2023,October,2023
1098,10/6/2023,October,2023
1099,10/7/2023,October,2023
1100,10/8/2023,October,2023
1101,10/9/2023,October,2023
1102,10/10/2023,October,2023
1103,10/11/2023,October,2023
1104,10/12/2023,October,2023
1105,10/13/2023,October,2023
1106,10/14/2023,October,2023
1107,10/15/2023,October,2023
1108,10/16/2023,October,2023
1109,10/17/2023,October,2023
1110,10/18/2023,October,2023
1111,10/19/2023,October,2023
1112,10/20/2023,October,2023
1113,10/21/2023,October,2023
1114,10/22/2023,October,2023
1115,10/23/2023,October,2023
1116,10/24/2023,October,2023
1117,10/25/2023,October,2023
1118,10/26/2023,October,2023
1119,10/27/2023,October,2023
1120,10/28/2023,October,2023
1121,10/29/2023,October,2023
1122,10/30/2023,October,2023
1123,10/31/2023,October,2023
1124,11/1/2023,November,2023
1125,11/2/2023,November,2023
1126,11/3/2023,November,2023
1127,11/4/2023,November,2023
1128,11/5/2023,November,2023
1129,11/6/2023,November,2023
1130,11/7/2023,November,2023
1131,11/8/2023,November,2023
1132,11/9/2023,November,2023
1133,11/10/2023,November,2023
1134,11/11/2023,November,2023
1135,11/12/2023,November,2023
1136,11/13/2023,November,2023
1137,11/14/2023,November,2023
1138,11/15/2023,November,2023
1139,11/16/2023,November,2023
1140,11/17/2023,November,2023
1141,11/18/2023,November,2023
1142,11/19/2023,November,2023
1143,11/20/2023,November,2023
1144,11/21/2023,November,2023
1145,11/22/2023,November,2023
1146,11/23/2023,November,2023
1147,11/24/2023,November,2023
1148,11/25/2023,November,2023
1149,11/26/2023,November,2023
1150,11/27/2023,November,2023
1151,11/28/2023,November,2023
1152,11/29/2023,November,2023
1153,11/30/2023,November,2023
1154,12/1/2023,December,2023
1155,12/2/2023,December,2023
1156,12/3/2023,December,2023
1157,12/4/2023,December,2023
1158,12/5/2023,December,2023
1159,12/6/2023,December,2023
1160,12/7/2023,December,2023
1161,12/8/2023,December,2023
1162,12/9/2023,December,2023
1163,12/10/2023,December,2023
1164,12/11/2023,December,2023
1165,12/12/2023,December,2023
1166,12/13/2023,December,2023
1167,12/14/2023,December,2023
1168,12/15/2023,December,2023
1169,12/16/2023,December,2023
1170,12/17/2023,December,2023
1171,12/18/2023,December,2023
1172,12/19/2023,December,2023
1173,12/20/2023,December,2023
1174,12/21/2023,December,2023
1175,12/22/2023,December,2023
1176,12/23/2023,December,2023
1177,12/24/2023,December,2023
1178,12/25/2023,December,2023
1179,12/26/2023,December,2023
1180,12/27/2023,December,2023
1181,12/28/2023,December,2023
1182,12/29/2023,December,2023
1183,12/30/2023,December,2023
1184,12/31/2023,December,2023
